RegionID,RegionName,RegionType,StateName,2020-10,2020-11,2020-12,2021-01
54522,Springfield,City,IL,125922.0,126371.0,127027.0,127491.0
16726,Allentown,City,PA,188716.0,190801.0,193616.0,195753.0
46101,Lake Charles,City,LA,178333.0,177685.0,177446.0,177630.0
398007,Flint,City,MI,31799.0,32528.0,33559.0,34715.0
4810,Frederick,City,MD,333731.0,337266.0,340617.0,343400.0
5071,Hartford,City,CT,119918.0,121101.0,122169.0,122985.0
6103,Murrieta,City,CA,482701.0,489627.0,495963.0,503543.0
7386,Temecula,City,CA,525386.0,532710.0,539414.0,547476.0
11865,Hemet,City,CA,303692.0,307855.0,311725.0,316262.0
17882,East Los Angeles,City,CA,534516.0,538279.0,541740.0,544086.0
32238,Joliet,City,IL,158094.0,160253.0,161935.0,163225.0
34520,Vallejo,City,CA,447236.0,453339.0,460128.0,466714.0
13713,Santa Clara,City,CA,1362285.0,1375121.0,1390237.0,1398998.0
17551,Concord,City,NC,249616.0,252856.0,256861.0,261054.0
30211,Town Of Amherst,City,NY,223666.0,226708.0,229624.0,232265.0
23534,Athens,City,GA,217179.0,218559.0,220118.0,221390.0
4679,Falls Church,City,VA,636713.0,642375.0,648402.0,655869.0
33136,Norman,City,OK,181383.0,182443.0,183328.0,184113.0
14667,Wilmington,City,DE,234274.0,237369.0,240620.0,243907.0
33024,Nampa,City,ID,291384.0,299166.0,307876.0,318090.0
16992,Berkeley,City,CA,1381259.0,1394202.0,1405258.0,1411435.0
34781,Westminster,City,CO,434381.0,439293.0,444209.0,449475.0
26791,Rochester,City,MN,258902.0,261087.0,263900.0,266871.0
44655,Clovis,City,CA,379990.0,384062.0,388968.0,394333.0
41084,Stone Mountain,City,GA,190444.0,193237.0,195800.0,198288.0
27317,Summerville,City,SC,247978.0,250283.0,252842.0,255648.0
41517,Vista,City,CA,595836.0,605393.0,615043.0,625694.0
37596,Broken Arrow,City,OK,190621.0,192263.0,194395.0,196328.0
26751,Richmond,City,CA,611619.0,617583.0,624313.0,635198.0
10181,Arvada,City,CO,490160.0,496333.0,502605.0,509256.0
30840,Charlottesville,City,VA,351828.0,354075.0,356671.0,358946.0
12038,Independence,City,MO,143352.0,145326.0,147531.0,149385.0
14208,Tuscaloosa,City,AL,170055.0,171313.0,172738.0,174062.0
20071,Provo,City,UT,339413.0,344276.0,350191.0,354892.0
6172,New Port Richey,City,FL,192008.0,195892.0,200010.0,205010.0
7191,Spartanburg,City,SC,144556.0,146006.0,147571.0,148990.0
50950,Bellingham,City,WA,497933.0,503428.0,509654.0,514000.0
19307,Melbourne,City,FL,250959.0,253066.0,254895.0,257571.0
38032,Costa Mesa,City,CA,896558.0,905542.0,916649.0,926550.0
13943,Sparks,City,NV,386288.0,391468.0,397828.0,403976.0
50962,Bend,City,OR,514472.0,523237.0,534395.0,544850.0
51861,El Monte,City,CA,550535.0,555568.0,560482.0,564810.0
37965,College Station,City,TX,252753.0,254283.0,255985.0,257612.0
39767,Miami Gardens,City,FL,290806.0,293007.0,296360.0,300605.0
37863,Chico,City,CA,396357.0,399944.0,403712.0,408747.0
4406,Downey,City,CA,637373.0,643452.0,649390.0,655275.0
7453,Tracy,City,CA,556573.0,565360.0,574953.0,586419.0
34543,Ventura,City,CA,640271.0,647418.0,653507.0,661766.0
6218,North Charleston,City,SC,199932.0,202328.0,204723.0,206747.0
39420,Lewisville,City,TX,290824.0,293158.0,296138.0,298840.0
14542,West Covina,City,CA,616147.0,622081.0,627556.0,632956.0
13554,Rock Hill,City,SC,213917.0,216868.0,219921.0,222338.0
17133,Bowling Green,City,KY,181414.0,181895.0,182510.0,183388.0
41802,Yakima,City,WA,270590.0,272417.0,273602.0,274132.0
47322,Redding,City,CA,312198.0,316623.0,321257.0,326003.0
5772,Manchester,City,NH,281519.0,285809.0,289850.0,293915.0
26900,Saint Augustine,City,FL,298626.0,302147.0,305706.0,309789.0
31209,Delray Beach,City,FL,235826.0,237100.0,238443.0,239834.0
25659,Lowell,City,MA,331321.0,335364.0,340100.0,343923.0
34671,Waterbury,City,CT,144782.0,148555.0,151889.0,155086.0
7858,West Palm Beach,City,FL,266359.0,268307.0,270313.0,272381.0
3975,Carlsbad,City,CA,954716.0,968456.0,982555.0,997720.0
17943,Elgin,City,IL,216923.0,218897.0,220965.0,222648.0
13712,Santa Barbara,City,CA,1238260.0,1252793.0,1265255.0,1279162.0
35593,Laurel,City,MD,363960.0,367645.0,371490.0,374982.0
3934,Cambridge,City,MA,882334.0,887496.0,893486.0,896151.0
18073,Fargo,City,ND,235340.0,235905.0,236679.0,237778.0
41641,West Jordan,City,UT,402090.0,407717.0,414110.0,419262.0
11726,Greenville,City,NC,150227.0,151640.0,153123.0,154640.0
19172,Manassas,City,VA,417910.0,421985.0,425478.0,431247.0
11914,Hillsboro,City,OR,424340.0,429670.0,434113.0,437612.0
45548,Green Bay,City,WI,161677.0,163711.0,165558.0,167455.0
53787,Palm Bay,City,FL,202422.0,204408.0,206061.0,208342.0
54121,Richardson,City,TX,327922.0,331414.0,335135.0,336428.0
41629,West Chester,City,PA,452418.0,457382.0,461819.0,465421.0
53636,Norwalk,City,CA,537832.0,543751.0,549192.0,554980.0
7680,Vero Beach,City,FL,238277.0,239930.0,243320.0,246845.0
19903,Peoria,City,IL,89928.0,90199.0,90526.0,91038.0
44515,Centennial,City,CO,517616.0,521875.0,526803.0,531045.0
11140,Douglasville,City,GA,204078.0,207062.0,210460.0,213532.0
16780,Antioch,City,CA,514629.0,518196.0,522212.0,529578.0
13256,Perris,City,CA,363841.0,368698.0,373091.0,378356.0
27228,Springfield,City,VA,559895.0,564412.0,569559.0,576155.0
18053,Fairfield,City,CA,487583.0,494577.0,502001.0,509233.0
4301,Davenport,City,IA,138855.0,139378.0,140572.0,142125.0
5595,Lehigh Acres,City,FL,189036.0,190948.0,193159.0,195003.0
4626,Everett,City,WA,476410.0,483936.0,489911.0,495958.0
27942,Wichita Falls,City,TX,110103.0,112051.0,113908.0,116290.0
11335,Erie,City,PA,126360.0,127907.0,129276.0,130867.0
26575,Pompano Beach,City,FL,244324.0,246706.0,249390.0,251379.0
13698,San Leandro,City,CA,749099.0,759959.0,767500.0,771162.0
6790,Riverview,City,FL,253385.0,255737.0,258592.0,261860.0
396054,Burbank,City,CA,917478.0,927017.0,935601.0,943141.0
41446,Vacaville,City,CA,486782.0,493635.0,500987.0,508432.0
32629,Madera,City,CA,286643.0,288265.0,289147.0,289479.0
37074,Albany,City,NY,218186.0,219963.0,222213.0,224021.0
31819,Grand Junction,City,CO,281354.0,283158.0,285982.0,288417.0
45732,Hesperia,City,CA,312947.0,317695.0,323181.0,329026.0
45911,Jackson,City,MI,137254.0,138984.0,141201.0,143434.0
47977,The Woodlands,City,TX,373883.0,378332.0,382134.0,386477.0
12438,Longview,City,TX,161855.0,159563.0,157887.0,155883.0
13699,San Mateo,City,CA,1443778.0,1449107.0,1459582.0,1460503.0
11267,Edison,City,NJ,410708.0,413433.0,415222.0,417516.0
45339,Franklin,City,TN,523865.0,529527.0,536126.0,541461.0
13709,Sandy Springs,City,GA,517575.0,520567.0,524325.0,528051.0
25855,Merced,City,CA,279738.0,284510.0,289376.0,295108.0
39134,Jacksonville,City,NC,158430.0,159492.0,160594.0,161796.0
13715,Santa Cruz,City,CA,1010383.0,1025042.0,1041549.0,1059909.0
32489,Lexington,City,SC,207568.0,208599.0,209419.0,210409.0
17386,Chapel Hill,City,NC,417552.0,419990.0,423484.0,426654.0
32287,Kennesaw,City,GA,274465.0,277836.0,281856.0,285939.0
37933,Clinton,City,MI,193236.0,195711.0,197730.0,199346.0
45127,Elkhart,City,IN,150400.0,152147.0,154451.0,156848.0
31163,Daly City,City,CA,1090385.0,1092306.0,1098037.0,1098344.0
33645,Rialto,City,CA,414389.0,419898.0,426443.0,433387.0
11049,Davie,City,FL,356865.0,360008.0,363505.0,366133.0
10917,Columbia,City,MD,383005.0,387027.0,391773.0,395848.0
46508,Meridian,City,ID,399001.0,409572.0,421950.0,435087.0
32452,Lawrence,City,KS,225659.0,226914.0,228786.0,230876.0
6112,Napa,City,CA,724772.0,735043.0,747864.0,763615.0
38992,Highlands Ranch,City,CO,559863.0,565774.0,572695.0,579379.0
46348,Lynchburg,City,VA,169916.0,171726.0,173573.0,174991.0
11695,Greeley,City,CO,337157.0,339559.0,341967.0,344364.0
39386,League City,City,TX,280252.0,281639.0,283528.0,286070.0
395471,Lakewood Township,City,NJ,355485.0,359820.0,363859.0,368114.0
12773,Mission Viejo,City,CA,792446.0,801089.0,811859.0,821838.0
11896,High Point,City,NC,157614.0,159727.0,161891.0,163995.0
39452,Lithonia,City,GA,174364.0,177035.0,179575.0,182029.0
